Name,Ownership,Type,Gender,Province
PAKISTAN STEEL IN OF Technology,Government,Technical,Both,Sindh   /   Larkana
PAKISTAN STUDENTS ACADEMY,Private,Vocational,Both,Sindh   /   Nawabshah(Benazirabad)
PAKISTANI SWEDISH INSTITUTE,Private,Technical,Both,Sindh   /   Karachi-South
PAPULAR TAILORING INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi-South
PARAS COMPUTER ACADEMY,Private,Vocational,Female,Sindh   /   Mirpurkhas
PARAYAN BEAUTY CENTER,Private,Vocational,Female,Sindh   /   Karachi-South
PARLANCE LANGHUAGE CENTRE,Private,Vocational,Both,Sindh   /   Hyderabad
PEARL BEAUTY PARLOUR,Private,Vocational,Female,Sindh   /   Karachi Central
PENTAGON OF IT AND MANAGEMENT,Private,Vocational,Both,Sindh   /   Karachi East
PERFECT COMPUTER,Private,Vocational,Both,Sindh   /   Hyderabad
PERFECT COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Thatta
PHMA INSTITUTE OF KNITWEAR TRAINING EDUCATION,Private,Vocational,Both,Sindh   /   Karachi Central
PITMAN COMMERCIAL COLLEGE,Private,Vocational,Both,Sindh   /   Karachi
POLICE WELFARE EDUCATIONAL CENTRE,Government,Vocational,Both,Sindh   /   Karachi-South
PUBLIC HEALTH SCHOOL,Private,Vocational,Both,Sindh   /   Karachi-South
QUDSIA MEMORIAL ELEMENTARY COLLEGE,Private,Vocational,Both,Sindh   /   Karachi East
QUICK LINK ACADEMY,Private,Vocational,Both,Sindh   /   Hyderabad
RABAB BEAUTY PARLOR & TRAINING,Private,Vocational,Female,Sindh   /   Hyderabad
RABIA VOCATIONAL TRAINING INSTITUTE,Private,Vocational,Female,Sindh   /   Jamshoro
RANA LIAQAT APWA SCHOOL,Private,Vocational,Both,Sindh   /   Karachi Central
RANA LIAQUAT VOCATIONAL TRADINING COLONY,Private,Vocational,Both,Sindh   /   Karachi East
RAZI TAILORING INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi-South
REAL BASE COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Hyderabad
REAL COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Tharparkar
REAL KNOWLEDGE INSTITUTE,Private,Vocational,Both,Sindh   /   Khairpur
REGIONAL EDUCATION CENTRE,Private,Vocational,Both,Sindh   /   Karachi East
REGIONAL EDUCATION EXTENSION CENTRE,Private,Vocational,Both,Sindh   /   Karachi-South
RINA BEAUTY PARLOUR,Private,Vocational,Female,Sindh   /   Karachi East
ROSE BEDUTY PARLOR  BLOCK 3,Private,Vocational,Both,Sindh   /   Karachi East
ROSHI COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi East
ROTARY GREEN LAND ISNTITUTE FOR WOMEN 4. F 8/13,Private,Vocational,Both,Sindh   /   Karachi Central
ROTTARY STREET SCHOOOL,Private,Vocational,Both,Sindh   /   Karachi-South
RUBY COMMERCIAL CENTRE,Private,Vocational,Both,Sindh   /   Karachi-South
SABHEETA ACADEMY,Private,Vocational,Both,Sindh   /   Khairpur
SAHARA WOMEN SCHOOL DEVELOPMENT,Private,Vocational,Female,Sindh   /   Sukkur
SAHKAR COMPUTER COMMUNITY,Private,Vocational,Both,Sindh   /   Karachi East
SAINT STEFIN SEWING CENTRE,Private,Vocational,Female,Sindh   /   Sukkur
SAMOO WOMEN WELFARE CENTRE,Private,Vocational,Female,Sindh   /   Dadu
SAMZ HAIR AND BEAUTY TRAINING CENTER,Private,Vocational,Female,Sindh   /   Sukkur
SARBUN INSTITUTE OF MODERN SCIENCE,Private,Vocational,Both,Sindh   /   Hyderabad
SARTYOON SILAI KARAHI CENTRE,Private,Vocational,Both,Sindh   /   Hyderabad
SCIENTIFIC COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Hyderabad
SHABANA MOTOR TRAINING SCHOOL,Private,Vocational,Both,Sindh   /   Hyderabad
SHAHDADPUR INSTITUTE OF COMPUTER,Private,Vocational,Both,Sindh   /   Hyderabad
SHAHEEN COMPUTER CENTRE,Private,Vocational,Both,Sindh   /   Hyderabad
SHAHZADI CENTRE,Private,Vocational,Both,Sindh   /   Ghotki
SHAMS COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Sanghar
SHIEKH COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi East
SILVER LINE COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi East
SINDHY INDUSTRIAL COLONY SCHOOL,Private,Vocational,Female,Sindh   /   Karachi East
SIR WAZIR LANGUA SCHOOL FOR GIRLS,Private,Vocational,Female,Sindh   /   Thatta
SKILL DEVELOPMENT COUNCIL KARACHI,Private,Vocational,Both,Sindh   /   Karachi East
SKY TECH COMPUTER SCIENCE,Private,Vocational,Both,Sindh   /   Karachi-Malir
SNA TECHNO SCHOOL,Private,Vocational,Female,Sindh   /   Karachi Central
SOCIAL ECONOMICS CENTER,Private,Vocational,Both,Sindh   /   Karachi East
SOCIAL WELFARE TRANING INSTITE,Private,Vocational,Both,Sindh   /   Karachi East
SOCIO ECONOMIC CENTER,Private,Vocational,Both,Sindh   /   NaushehroFeroze
SODAGRAN GIRLS VOCATIONAL SCHOOL,Private,Vocational,Female,Sindh   /   Kashmore
SOFIO ECONOMIC CENTER SOCIAL,Private,Vocational,Female,Sindh   /   Karachi East
SOFT TECH COMPUTERS UMERKOT,Private,Vocational,Both,Sindh   /   Umerkot
SOFTNET  COMPUTER INSTITUTION,Private,Vocational,Both,Sindh   /   Jamshoro
SOLA SINGHAR BEAUTY INSTITUE,Private,Vocational,Female,Sindh   /   Karachi Central
SONY COMPUTER ACADEMY,Private,Vocational,Female,Sindh   /   Karachi-South
SPEEDIUM COMPUTER Technology,Private,Vocational,Both,Sindh   /   Karachi-Malir
STAFF WELFARE ORGANIZATION VOCATIONAL TRAINING,Private,Vocational,Both,Sindh   /   Hyderabad
STAR TECH ACADEMY OF COMPUTER SCIENCE,Private,Technical,Both,Sindh   /   Tharparkar
STUDY INN EDUCATIONAL SYSTEM,Private,Vocational,Both,Sindh   /   Karachi Central
STUDY LINK COMPREHENSIVE CENTRE,Private,Vocational,Both,Sindh   /   Karachi-South
SUNDAS BEAUTY PARLOUR & TRAINING CENTER,Private,Vocational,Female,Sindh   /   Karachi East
SUNNY TAILORING SCHOOL,Private,Vocational,Female,Sindh   /   Hyderabad
SUPER COMPUTER SYSTEM,Private,Vocational,Both,Sindh   /   Tando Allah Yar
SUPER SYS TECH COMPUTERS,Private,Vocational,Both,Sindh   /   Jamshoro
SUPREME INFORMATRION Technology & MANAGEMENT,Private,Vocational,Both,Sindh   /   Karachi East
SZABIST JOB SKILL TRAINING CENTRE,Private,Vocational,Both,Sindh   /   Karachi-South
SZABIST VOCATIONAL COLLEGE,Private,Vocational,Both,Sindh   /   Nawabshah(Benazirabad)
TAJ COMMERCIAL INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi Central
TECHNICAL COLLEGE,Private,Technical,Both,Sindh   /   Hyderabad
TECHNICAL TRAINING CENTER,Private,Technical,Male,Sindh   /   Karachi Central
TECHNICAL TRAINING CENTER HANDS,Private,Technical,Male,Sindh   /   Thatta
TECHNICAL TRAINING CENTRE,Private,Technical,Male,Sindh   /   Hyderabad
TECHNICAL TRAINING CENTRE,Private,Technical,Male,Sindh   /   Hyderabad
TECHNICAL TRAINING CENTRE FOR WOMEN,Private,Technical,Male,Sindh   /   Hyderabad
TECHNO MEN INSTITUTE OF INFORMATION Technology,Private,Vocational,Male,Sindh   /   Hyderabad
TECHNOCRAT COMPUTER CENTRE,Private,Vocational,Male,Sindh   /   Shikarpur
TECHNOCRAT INSTITUTE OF COMPUTER,Private,Vocational,Male,Sindh   /   Hyderabad
TECHNOCRATE COMPUTER INSTITUTE,Private,Vocational,Male,Sindh   /   Shikarpur
TECHNOMEN COMPUTER CENTRE,Private,Vocational,Male,Sindh   /   Karachi East
THE EDUCATIONAL LENG POINT,Private,Vocational,Male,Sindh   /   Sanghar
THE INNOVATIVE LANGUAGE POINT,Private,Vocational,Male,Sindh   /   Karachi Central
THE LANGUA WORLD ENGLISH LANGUAGE COMPUTER,Private,Vocational,Male,Sindh   /   Karachi East
THE LINGUISTIC CENTRE,Private,Technical,Both,Sindh   /   Karachi Central
THE MATER COLLEGIATE COMPUTER CENTER,Private,Vocational,Both,Sindh   /   Karachi Central
THREE IN ONE BEAUTY PALOR,Private,Vocational,Both,Sindh   /   Karachi East
TRACK COMPUTER CORNER,Private,Vocational,Both,Sindh   /   Karachi Central
TRANSWORLD- EDUCATION BUREAU,Private,Vocational,Both,Sindh   /   Karachi East
TRUE NAME EDUCATION SYSTEM,Private,Vocational,Both,Sindh   /   Karachi East
TTC KOTRI EVENING SHIFT SCHOOL,Private,Vocational,Both,Sindh   /   Hyderabad
TTC KOTRI MORNING SHIFT SCHOOL,Private,Vocational,Both,Sindh   /   Hyderabad
UNIQE BEAUTI PARLOR,Private,Vocational,Both,Sindh   /   Sukkur
UNITED COMPUTER  CENTRE,Private,Vocational,Both,Sindh   /   Ghotki
UNIVERSAL TECH COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Shikarpur
UROOGE BEAUTY PARLOR TRAINING CENTRE,Private,Vocational,Female,Sindh   /   Larkana
VARGO BEAUTY PARLOUR TRAINING CENTRE,Private,Vocational,Female,Sindh   /   Karachi Central
VOCATIONAL CENTER,Private,Vocational,Female,Sindh   /   Jacobabad
VOCATIONAL Government SCHOOL FOR GIRLS,Government,Vocational,Female,Sindh   /   Hyderabad
VOCATIONAL SCHOOL FOR GIRLS,Private,Vocational,Female,Sindh   /   Jacobabad
VOCTIONAL INSITITUTE HAZRAT BILAL WLFARE ORGANIZATION REG.,Private,Vocational,Female,Sindh   /   Khairpur
WARDA INSTITUTE OF COMPUTAR SCIENCE,Private,Vocational,Female,Sindh   /   Karachi East
WHITE ROSE BEAUTY PARLOR TRAINING CENTRE,Private,Vocational,Female,Sindh   /   Hyderabad
WOMEN COMMUNITY CENTER,Private,Vocational,Female,Sindh   /   Hyderabad
WOMEN TECHNICAL TRAINING CENTRE,Private,Vocational,Female,Sindh   /   Hyderabad
WOMEN VOCATIONAL CENTER,Private,Vocational,Female,Sindh   /   Badin
WOMEN VOCATIONAL CENTER,Private,Vocational,Female,Sindh   /   Mirpurkhas
WOMEN VOCATIONAL CENTRE,Private,Vocational,Female,Sindh   /   Khairpur
WOMEN VOCATIONAL CENTRE,Private,Vocational,Female,Sindh   /   Tharparkar
WOMEN VOCATIONAL CENTRE,Private,Vocational,Female,Sindh   /   Jamshoro
WOMEN VOCATIONAL TRAINING CENTRE,Private,Vocational,Female,Sindh   /   Dadu
YAHOO COMPUTER CENTER,Private,Vocational,Both,Sindh   /   Hyderabad
YMCA POLY TECHNIQUE INSTITUTE,Private,Vocational,Both,Sindh   /   Karachi
YOUTH VOCATIONAL CENTRE,Private,Vocational,Both,Sindh   /   Hyderabad
YOUTH VOCATIONAL TRAINING CENTRE,Private,Vocational,Both,Sindh   /   Karachi-South
Z V M G RANGOONWALA TRUST,Private,Vocational,Both,Sindh   /   Hyderabad
ZAHOOR COMPUTER INSTITUTE,Private,Vocational,Both,Sindh   /   Hyderabad
ZAHOOR TYPING CENTRE,Private,Vocational,Both,Sindh   /   Karachi East
ZENITH ACADEMY OF IT,Private,Vocational,Both,Sindh   /   Sukkur
ZUBAIDA POLY TECHNIC INSTITUTE,Private,Technical,Both,Sindh   /   Karachi Central
ZUHA BEAUTY PARLOUR TRAINING CENTRE,Private,Vocational,Both,Sindh   /   Hyderabad
Azra's Hair & Beauty Salon - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Allenora Salons By Annie - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Bhabi's Health & Beauty Clinic - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Sukkur
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Ghotki
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Shikarpur
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Larkana
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   KambarShahdadkot
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Jacobabad
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   NaushehroFeroze
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Nawabshah(Benazirabad)
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Khairpur
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Matiari
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Hyderabad
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Hyderabad
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Tando Allah Yar
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Badin
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Mirpurkhas
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Umerkot
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Tharparkar
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Jamshoro
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Dadu
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Sanghar
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Thatta
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi-South
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi-South
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi Central
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi-South
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi Central
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Sindh   /   Karachi-Malir
FAUJI FOUNDATION VOCATIONAL CENTRE,Private,Vocational,Female,Sindh   /   Karachi East
FAUJI FOUNDATION VOCATIONAL TRAINING CENTER,Private,Vocational,Female,Sindh   /   Sanghar
Fauji Foundation Vocational Training Center,Private,Vocational,Female,Sindh   /   Karachi East
Fahji Foundation Vocational Training Center,Private,Vocational,Female,Sindh   /   Hyderabad
Bina Khan - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Ruby Beauty Parlour - Karachi,Private,Vocational,Female,Sindh   /   Karachi Central
Sapna Beauty Parlour - Karachi,Private,Vocational,Female,Sindh   /   Karachi East
Shamain Salon - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Queens Beauty Centre - Karachi,Private,Vocational,Female,Sindh   /   Karachi-South
Grace Beauty Salon - Karachi,Private,Vocational,Female,Sindh   /   Hyderabad
Shumaila Ghullam Rasool Unar - Hyderabad,Private,Vocational,Female,Sindh   /   Hyderabad
Government Monotech Institute Tando Allahyar,Government,Technical,Male,Sindh   /   Tando Allah Yar
Government Polytechnic Institute Thatta,Government,Technical,Male,Sindh   /   Thatta
Government Monotech Institute Kohasar Latifabad,Government,Technical,Male,Sindh   /   Hyderabad
Government Monotech Institute Mirpur Bathoro,Government,Technical,Male,Sindh   /   Sujawal
Government Monotech Institute Matli,Government,Technical,Male,Sindh   /   Badin
Government Polytechnic Institute Badin,Government,Technical,Male,Sindh   /   Badin
Government Polytechnic Institute T.M.Khan,Government,Technical,Male,Sindh   /   Tando Muhammad Khan
Government Polytechnic Institute (G) Latifabad Hyd,Government,Technical,Female,Sindh   /   Hyderabad
Government Monotech Institute Golarchi,Government,Technical,Male,Sindh   /   Badin
Government Monotech Institute Tando Bago,Government,Technical,Male,Sindh   /   Badin
Government Monotech Institute Paretabad Hyderabad,Government,Technical,Male,Sindh   /   Hyderabad
Government Monotech Institute Hala,Government,Technical,Male,Sindh   /   Matiari
Government Monotech Institute Tando Jam,Government,Technical,Male,Sindh   /   Hyderabad
Government Polytechnic Institute Dadu,Government,Technical,Male,Sindh   /   Dadu
Government Monotech Institute Sehwan Sharif,Government,Technical,Male,Sindh   /   Jamshoro
Government Polytechnic Institute Matiari,Government,Technical,Male,Sindh   /   Matiari
Government Polytechnic Institute Mehar,Government,Technical,Male,Sindh   /   Dadu
Government College of Technology Hyderabad,Government,Technical,Male,Sindh   /   Hyderabad
Government Polytechnic Institute Mithi,Government,Technical,Male,Sindh   /   Tharparkar
Government Polytechnic Institute MPS,Government,Technical,Male,Sindh   /   Mirpurkhas
Government Monotech Institute (B) Umer Kot,Government,Technical,Male,Sindh   /   Umerkot
Government Monotech Institute (B) Shahdad Pur,Government,Technical,Male,Sindh   /   Sanghar
Government Monotech Institute (M) Tando Adam,Government,Technical,Male,Sindh   /   Sanghar
Government Polytechnic Institute Sanghar,Government,Technical,Male,Sindh   /   Sanghar
Government Monotech Institute Khipro,Government,Technical,Male,Sindh   /   Sanghar
Government Monotech Institute Dharki,Government,Technical,Male,Sindh   /   Ghotki
Government Habib College of tech: N.Shah,Government,Technical,Male,Sindh   /   Nawabshah(Benazirabad)
Government Mono Technic Institute Nawab Shah,Government,Technical,Female,Sindh   /   Nawabshah(Benazirabad)
Government: Monotechnic Institute Sakrund,Government,Technical,Male,Sindh   /   Sukkur
Government: Polytechnic Institute (W) Sukkur,Government,Technical,Female,Sindh   /   Sukkur
Government Polytechnic Institute Ghotki,Government,Technical,Male,Sindh   /   Ghotki
Government: Monotechnic Institute Pano Akil,Government,Technical,Male,Sindh   /   Sukkur
Government: Polytechnic Institute (Boys) Sukkur,Government,Technical,Male,Sindh   /   Sukkur
Government Polytechnic Institute Thari Mirwah,Government,Technical,Male,Sindh   /   Khairpur
Government Monotech Institute Mehrab Pur,Government,Technical,Male,Sindh   /   Matiari
Government Monotech Institute Padidan,Government,Technical,Male,Sindh   /   NaushehroFeroze
Government Polytechnic Institute Khuhra,Government,Technical,Male,Sindh   /   Khairpur
Government Monotech Institute Kandiaro,Government,Technical,Male,Sindh   /   NaushehroFeroze
Government: Technical Institute Khair Pur,Government,Technical,Male,Sindh   /   Khairpur
Government College of Technology Khair Pur,Government,Technical,Male,Sindh   /   Khairpur
Government College of Technology Khair Pur,Government,Technical,Male,Sindh   /   Khairpur
Government College of Technology Khairpur (M),Government,Technical,Male,Sindh   /   Khairpur
Government College of Technology Khairpur,Government,Technical,Male,Sindh   /   Khairpur
Government College of Technology Khairpur,Government,Technical,Male,Sindh   /   Khairpur
PTTI,Government,Technical,Male,Sindh   /   Khairpur
Government Polytechnic Institute (W) Korangi,Government,Technical,Female,Sindh   /   Karachi
Government Polytechnic Institute (B) Landhi,Government,Technical,Male,Sindh   /   Karachi
Government Monotech Institute Gulistan-e-Johar Karachi,Government,Technical,Male,Sindh   /   Karachi East
"Government Jamia Millia Polytechnic Institute, Malir, Karachi",Government,Technical,Male,Sindh   /   Karachi-Malir
Government Monotech Institute Razzakabad Karachi,Government,Technical,Male,Sindh   /   Karachi Central
Government Polytechnic Institute 7-C Orangi Town,Government,Technical,Male,Sindh   /   Karachi
Government Polytechnic Institute (W) North Nzimabad,Government,Technical,Female,Sindh   /   Karachi Central
Government Polytechnic Institute (W) Lyari Karachi,Government,Technical,Female,Sindh   /   Karachi-South
Government Polytechnic Institute 5-J New Karachi,Government,Technical,Male,Sindh   /   Karachi
Government College of Technology (G) Karimabad Khi,Government,Technical,Female,Sindh   /   Karachi
Government Monotech Institute Malir,Government,Technical,Male,Sindh   /   Karachi-Malir
Government Monotech Institute Baldia Town Karachi,Government,Technical,Male,Sindh   /   Karachi
Government Monotech Institute Orangi Town 11 Karachi,Government,Technical,Male,Sindh   /   Karachi Central
Government Polytechnic Institute Korangi,Government,Technical,Male,Sindh   /   Karachi
Government Polytechnic Institute (B) Landhi,Government,Technical,Male,Sindh   /   Karachi-South
Government Polytechnic Institute Shikar Pur,Government,Technical,Male,Sindh   /   Shikarpur
Government Monotech Institute Ratodero,Government,Technical,Male,Sindh   /   Larkana
Government Monotech Institute KandhKot,Government,Technical,Male,Sindh   /   Kashmore
Government Monotech Institute Garhi Yasin,Government,Technical,Male,Sindh   /   Shikarpur
Government Polytechnic Institute Jacababad,Government,Technical,Male,Sindh   /   Jacobabad
Government Vocational School (G) Maripur,Government,Technical,Female,Sindh   /   Mirpurkhas
GSEZCT,Government,Technical,Male,Sindh   /   Karachi Central
Pakistani Swedish Institute Of Technology Landhi Karachi,Government,Technical,Male,Sindh   /   Karachi-South
Government Monotech Institute Memon Goth,Government,Technical,Male,Sindh   /   Karachi-Malir
Government Monotech Institute Warah,Government,Technical,Male,Sindh   /   KambarShahdadkot
Government Institute of Business & Commercial Education Tando Allahyar,Government,Commerce,Male,Sindh   /   Tando Allah Yar
Government Institute of Business & Commercial Education Sujawal @ Government Monotech Institute MP Bathoro,Government,Commerce,Male,Sindh   /   Mirpurkhas
Government Institute of Business & Commercial Education Gharo,Government,Commerce,Male,Sindh   /   Thatta
Government Institute of Business & Commercial Education Thatta,Government,Commerce,Male,Sindh   /   Thatta
Government Institute of Business & Commercial Education Badin,Government,Commerce,Male,Sindh   /   Badin
Government Institute of Business & Commercial Education Latifabad,Government,Commerce,Male,Sindh   /   Hyderabad
Government Institute of Business & Commercial Education Hala,Government,Commerce,Male,Sindh   /   Hyderabad
Government Institute of Business & Commercial Education Sehwan,Government,Commerce,Male,Sindh   /   Dadu
Government Institute of Business & Commercial Education Mehar,Government,Commerce,Male,Sindh   /   Hyderabad
Government Institute of Business & Commercial Education Qasimabad Hyderabad,Government,Commerce,Male,Sindh   /   Hyderabad
Government Institute of Business & Commercial Education Dadu,Government,Commerce,Male,Sindh   /   Mirpurkhas
Government Institute of Business & Commercial Education Digri,Government,Commerce,Male,Sindh   /   Mirpurkhas
Government Institute of Business & Commercial Education MPS,Government,Commerce,Male,Sindh   /   Matiari
Government Institute of Business & Commercial Education Mithi,Government,Commerce,Male,Sindh   /   Matiari
Government Institute of Business & Commercial Education Tando Adam,Government,Commerce,Male,Sindh   /   Tando Muhammad Khan
Government Institute of Business & Commercial Education Khipro,Government,Commerce,Male,Sindh   /   Sanghar
Government Institute of Business & Commercial Education Umer Kot,Government,Commerce,Male,Sindh   /   Umerkot
Government Institute of Business & Commercial Education Sanghar,Government,Commerce,Male,Sindh   /   Sanghar
Government Institute of Business & Commercial Education Qazi Ahmed,Government,Commerce,Male,Sindh   /   Dadu
Government Institute of Business & Commercial Education Sukkur,Government,Commerce,Male,Sindh   /   Sukkur
Government Institute of Business & Commercial Education Rohari,Government,Commerce,Male,Sindh   /   Khairpur
Government Institute of Business & Commercial Education Ghotki,Government,Commerce,Male,Sindh   /   Ghotki
Government Institute of Business & Commercial Education Khair Pur,Government,Commerce,Male,Sindh   /   Khairpur
Government Institute of Business & Commercial Education N.Feroz,Government,Commerce,Male,Sindh   /   NaushehroFeroze
Government Institute of Business & Commercial Education Thari Mirwah,Government,Commerce,Male,Sindh   /   Khairpur
Government Institute of Business & Commercial Education Pir Jo Goth,Government,Commerce,Male,Sindh   /   Larkana
Government Institute of Business & Commercial Education Gulistan E Johar,Government,Commerce,Male,Sindh   /   Shikarpur
Government Institute of Business & Commercial Education Malir Karachi,Government,Commerce,Both,Sindh   /   Karachi-Malir
Government Institute of Business & Commercial Education Shikar Pur,Government,Commerce,Male,Sindh   /   Shikarpur
Government Institute of Business & Commercial Education Larka,Government,Commerce,Male,Sindh   /   Larkana
Government Institute of Business & Commercial Education Lakhi,Government,Commerce,Male,Sindh   /   Shikarpur
Government Institute of Business & Commercial Education Kandh Kot,Government,Commerce,Male,Sindh   /   Shikarpur
Government Institute of Business & Commercial Education Kamber Shahdad Kot,Government,Commerce,Male,Sindh   /   Shikarpur
Government Institute of Business & Commercial Education Jacobabad,Government,Commerce,Male,Sindh   /   Jacobabad
Government Institute of Business & Commercial Education Miro Khan,Government,Commerce,Male,Sindh   /   NaushehroFeroze
Government Institute of Business & Commercial Education Lyari Karachi,Government,Commerce,Male,Sindh   /   Karachi-South
Government Institute of Business & Commercial Education Orangi Town,Government,Commerce,Male,Sindh   /   Karachi Central
Vocational Training Institute,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Gujranwala,Government,Vocational,Both,Punjab   /   Gujranwala
Vocational Training Institute Burj Attari,Government,Vocational,Both,Punjab   /   Sheikhupura
Vocational Training Institute Wazirabad,Government,Vocational,Both,Punjab   /   Gujranwala
Vocational Training Institute Kamoke,Government,Vocational,Both,Punjab   /   Gujranwala
Vocational Training Institute Safdarabad,Government,Vocational,Both,Punjab   /   Sheikhupura
Vocational Training Institute Muridke,Government,Vocational,Both,Punjab   /   Sheikhupura
Vocational Training Institute Jandiala Sher Khan,Government,Vocational,Both,Punjab   /   Sheikhupura
Vocational Training Institute Sheikhupura,Government,Vocational,Both,Punjab   /   Sheikhupura
Vocational Training Institute Kolo Tarar,Government,Vocational,Both,Punjab   /   Hafizabad
Vocational Training Institute Hafizabad,Government,Vocational,Both,Punjab   /   Hafizabad
Vocational Training Institute Pindi Bhattian,Government,Vocational,Both,Punjab   /   Hafizabad
Vocational Training Institute Nankana sahib,Government,Vocational,Both,Punjab   /   Nankana Sahib
Vocational Training Institute Sangla Hill,Government,Vocational,Both,Punjab   /   Nankana Sahib
Vocational Training Institute Sukkekee,Government,Vocational,Both,Punjab   /   Hafizabad
Vocational Training Institute Nankana sahib,Government,Vocational,Both,Punjab   /   Nankana Sahib
Vocational Training Institute Dhobi Ghat Faisalabad,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Khrrianwala,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Salarwala,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Satiana,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute chak 76 GB,Government,Vocational,Female,Punjab   /   Faisalabad
Vocational Training Institute Jaranwala,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Mamukanjan,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute 474GB Kikar Sumandri,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute D ground Faisalabad,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute sitara colony Faislabad,Government,Vocational,Both,Punjab   /   Faisalabad
Vocational Training Institute Jhang,Government,Vocational,Both,Punjab   /   Jhang
Vocational Training Institute shorkot,Government,Vocational,Both,Punjab   /   Jhang
Vocational Training Institute  Ahmad pur sial Jhang,Government,Vocational,Both,Punjab   /   Jhang
Vocational Training Institute Chiniot,Government,Vocational,Both,Punjab   /   Chiniot
Vocational Training Institute Toba tek Singh,Government,Vocational,Both,Punjab   /   Toba Tek Singh
