Name,Sector,Address,Phone,Email,Website
THE UNIVERSITY OF FAISALABAD,Private,"Sargodha Road, University Town, Faisalabad ",+92 041-8868326-30, info@tuf.edu.pk ,http://www.tuf.edu.pk 
THE WOMEN UNIVERSITY,Public,"The Women University Multan Address: Kutchery Campus, L.M.Q. Road, Multan",061-9200811, info@wum.edu.pk ,http://www.wum.edu.pk 
UNIVERSITY OF AGRICULTURE,Public,"University of Agriculture University Main Rd، Faisalabad, Pakistan. ",+92 41 9200161-70, contact_us@uaf.edu.pk ,http://www.uaf.edu.pk 
UNIVERSITY OF AZAD JAMMU & KASHMIR,Public,"University of Azad Jammu & Kashmir, Administration Block, Challa Campus Muzaffarabad, Azad Kashmir",-966666, info@ajku.edu.pk ,http://www.ajku.edu.pk 
UNIVERSITY OF BALOCHISTAN,Public,"University of Balochistan, Sariab Road Quetta.", +92-81-9211124, registrar@um.uob.edu.pk ,http://www.uob.edu.pk 
UNIVERSITY OF CENTRAL PUNJAB,Private,"Khayaban-e-Jinnah Road, Johar Town, Lahore. ","+92-42-35954890, +92-42-358800", info@ucp.edu.pk ,http://www.ucp.edu.pk 
UNIVERSITY OF EDUCATION,Public,"College Road, Township, Lahore. ",-99262177, registrar@ue.edu.pk ,http://www.ue.edu.pk 
UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,"University of Engineering & Technology, Peshawar, Pakistan ",(+92-91)9216796-8, registrar@uetpeshawar.edu.pk ,http://www.uetpeshawar.edu.pk 
UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,"UNIVERSITY OF ENGINEERING & TECHNOLOGY, G.T. Rd, Lahore 54890, Pakistan","+92-42-99250201, +92-42-990292", registrar@uet.edu.pk ,http://www.uet.edu.pk 
UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,University of Engg. & Technology (UET) Taxila. ,+92 51-9047-400, nfo@uettaxila.edu.pk ,http://www.uettaxila.edu.pk 
UNIVERSITY OF FATA,Public,"Govt Degree College Darra Adam Khel Akhurwal F.R Kohat  N-55, Pakistan. ","+92-91-9218182, +92-91-9216427", info@fu.edu.pk ,http://www.fu.edu.pk/
UNIVERSITY OF GUJRAT,Public,"University of Gujrat Hafiz Hayat Campus Jalalpur Road Gujrat, Pakistan.",+92 (53) 3643112, info@uog.edu.pk ,http://www.uog.edu.pk 
UNIVERSITY OF HEALTH SCIENCES,Public,"University of Health Sciences, Khayaban-e-Jamia Punjab, Lahore-54600","+92-42-99231304-09, +92-42-111", info@uhs.edu.pk ,http://www.uhs.edu.pk 
UNIVERSITY OF KARACHI,Public,"University of Karachi Main University Road  Karachi - 75270  Sindh, Pakistan", 92.21.99261300-07 , info@uok.edu.pk ,http://www.uok.edu.pk 
UNIVERSITY OF LAHORE,Private,"UNIVERSITY OF LAHORE,1-K.M, Raiwind Road, Lahore. ",+92 42 111-865-865, info@uol.edu.pk ,http://www.uol.edu.pk 
UNIVERSITY OF MANAGEMENT & TECHNOLOGY,Private,"University of Management and Technology , C-II Johar Town Lahore ",+92 42 35212801-10, admissions@umt.edu.pk ,http://www.umt.edu.pk 
UNIVERSITY OF PESHAWAR,Public,"Old Jamrud Road, Peshawar. ",-9216700, registrar@uop.edu.pk ,http://www.uop.edu.pk/
UNIVERSITY OF SARGODHA,Public,"University of Sargodha, University Road Sargodha 40100 Punjab,Pakistan",-9230782, info@uos.edu.pk ,http://www.uos.edu.pk 
UNIVERSITY OF SCIENCE & TECHNOLOGY,Public," University of Science & Technology, Bannu, Khyber Pakhtunkhawa (KPK), (Pakistan)",-634671, registrar@ustb.edu.pk ,http://www.ustb.edu.pk 
UNIVERSITY OF SINDH,Public,"Allama I.I.Kazi Campus, University of Sindh, Jamshoro-76080, Sindh, Pakistan.",-9414, info@usindh.edu.pk ,http://www.usindh.edu.pk 
UNIVERSITY OF SOUTH ASIA,Private,"47-Tufail Road, Lahore Cantt. ","+92-42-36672943, +92-42-366 50", help@usa.edu.pk ,https://usa.edu.pk
UNIVERSITY OF SWABI,Public,"University of Swabi, Khyber Pakhtunkhwa",-491084, adminofficer@uoswabi.edu.pk ,http://www.uoswabi.edu.pk 
UNIVERSITY OF SWAT,Public,"G.T Road, Odigram, Swat, Khyber Pakhtunkhwa. ",+92-946-924 00060946, registrar@uswat.edu.pk ,http://www.uswat.edu.pk/ 
UNIVERSITY OF VETERINARY & ANIMAL SCIENCES,Public,"University of Veterinary and Animal Sciences - UVAS Syed Abdul Qadir Jillani (Out Fall) Road, Lahore - Pakistan","92-42-99211374, 99211449", helpline@uvas.edu.pk ,http://www.uvas.edu.pk 
UNIVERSITY OF WAH,Private,"Quaid Avenue, The Mall. Wah Cantt. ","051-9157000, 051-451425256-7", info@uow.edu.pk ,http://www.uow.edu.pk/
UNIVERSITY OF THE PUNJAB,Public,"P.O. Box No. 54590. Lahore, Pakistan.","+92-42-99231098-9, +92-42-3584", registrar@pu.edu.pk ,http://www.pu.edu.pk 
VIRTUAL UNIVERSITY OF PAKISTAN,Public,"M.A. Jinnah Campus, Defence Road, Off Raiwind Road, Lahore, Pakistan.",-99203851, registrar@vu.edu.pk ,http://www.vu.edu.pk/
WOMEN UNIVERSITY MARDAN,Public,http://www.wumardan.edu.pk ,(0937) 871 416, pstovc@wumardan.edu.pk ,http://www.wumardan.edu.pk 
"WOMEN UNIVERSITY, SWABI",Public,"WOMEN UNIVERSITY, SWABI",+92 0938-224222, info@wus.edu.pk ,http://www.wus.edu.pk/
ZIA-UD-DIN UNIVERSITY,Private,"4/B, Shahra-e-Ghalib, Block 6, Clifton, Karachi 75600. ",(9221) 35862937-9, info@zu.edu.pk ,https://zu.edu.pk
LAHORE SCHOOL OF ECONOMICS  ,Private,"Intersection Main Boulevard Phase VI DHA, Burki 53200, Lahore. ",+ 92 42 36560675, qaisar@lahoreschool.edu.pk ,http://www.lahoreschoolofeconomics.edu.pk 
"LASBELA UNIVERSITY OF AGRICULTURE, WATER & MARINE SCIENCES",Public,"Lasbela University of Agriculture, Water and Marine Sciences, Uthal, District Lasbela ",0853-610846 , pvc@luawms.edu.pk ,http://www.luawms.edu.pk/
UNIVERSITY OF TURBAT,Public,"Overseas Colony, Airport Road, Turbat Balochistan. ",-414491, registrar@uot.edu.pk ,http://www.uot.edu.pk 
Aga Khan University,Private,"First Floor, Juma Building  The Aga Khan University  P.O. Box 3500, Stadium Road,  Karachi 74800, Pakistan",+92 21 3493 0051, mc.ea@aku.edu ,https://www.aku.edu/
Al-Khair University (Banned by HEC),Private,"University Road, Bhimber (AJK)",05828-454085, info@alkhair.edu.pk ,http://alkhair.edu.pk
Barret Hodgson University,Private,"The Salim Habib Campus, NC-24, Deh Dih, Korangi Creek, Karachi ",92 21 35122931-35, info@bhu.edu.pk ,http://www.bhu.edu.pk/
Fatima Jinnah Women University,Public,"The Mall, Old Presidency, Rawalpindi ","+92-51-9292901,+92-51-9292902", bhs@fjwu.edu.pk ,http://www.fjwu.edu.pk 
Gambat Institute of Medical Sciences,Public,"Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan. ",92-243-640160 , mailus@gims.edu.pk ,http://www.gims.edu.pk/
"Global Institute, Lahore [HEC-NOC SUSPENDED] ",Private,"3-Aurangzeb Block, New Garden Town, Lahore. ",-35857880, info@global.edu.pk ,http://global.edu.pk/
Imperial College of Business Studies ,Private,"Canal Bank Road Near Bahria Chowk, Lahore",-35978507, admissions@imperial.edu.pk ,http://imperial.edu.pk/
Mohi-ud-Din Islamic University,Private,"Mohi-ud-Din Islamic University, Nerian Sharif AJ&K. ",05825-450282-3 , info@miu.edu.pk ,http://miu.edu.pk/
Pakistan Military Academy,Public,"Kakul Road, Abbottabad Pakistan ","92 (0)992 - 363643	", missing@pma.edu.pk ,http://www.pma.edu.pk 
PAKISTAN NAVAL ACADEMY,Public,"Pakistan Naval Academy  Karachi, Pakistan ",0347 1891949, email@paknavy.gov.pk ,http://www.paknavy.gov.pk 
"Preston Institute of Management, Science & Technology (Banned for admissions w.e.f 10-06-2017)",Private,"177/2, IEP Building, Karachi, Pakistan",0921-32789888-90, admissions@pimsat-khi.edu.pk ,https://pimsat-khi.edu.pk
"Shuhada-e-Army Public School University of Technology, Nowshera",Public,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera.",0923-560301 , missing@uotnowshera.edu.pk ,http://uotnowshera.edu.pk/
University of Kotli Azad Jammu and Kashmir,Public,"Kotli, Azad Kashmir, ",-965776, vice.chancellor@uokajk.edu.pk ,http://www.uokajk.edu.pk 
"University of Baltistan, Skardu",Public,"University of Baltistan, Skardu",05815-960070 , info@kiu.edu.pk ,https://www.kiu.edu.pk/page/skardu-campus
University of Loralai,Public,"College Road, Loralai at Loralai Zhob Division, Balochistan.",(0824) 410782, info@uoli.edu.pk ,http://www.uoli.edu.pk/
University of Malakand,Public,"Chakdara, Dir, Lower, Malakand Khyber Pakhtunkhwa ",0945-763023 Ext 3011, missinginfo@uom.edu.pk ,http://www.uom.edu.pk 
University of Poonch,Public,"B-65, Housing Scheme, Rawalakot (Azad Kashmir) ",+92 5824-960053 , registrar@upr.edu.pk ,http://www.upr.edu.pk/
Women University of Azad Jammu & Kashmir,Public,"Women University of Azad Jammu & Kashmir, Bagh ",058-23-960044, info@wuajk.edu.pk ,http://www.wuajk.edu.pk/
Shaheed Benazir Bhutto University,Public,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",-886381, registrar@sbbu.edu.pk ,http://www.sbbu.edu.pk
Khushal Khan Khattak University,Public,"Opposite Tableghi markaz, Karak. ","+92-927- 291018, 291026", vc@kkkuk.edu.pk ,http://www.kkkuk.edu.pk/
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Public,Station Road Near Mil Colony Khairpur MiRS Khairpur  Khairpur Mirs ,0243-9280168, missingemail@bbsut.edu.pk ,https://www.underprocess.pk/
Bacha Khan University,Public,"Bacha Khan University, Palosa, Charsadda. ","091-6540116	", webmaster@bkuc.edu.pk ,http://www.bkuc.edu.pk/
National University of Technology (NUTECH),Public,"National University of Technology (NUTECH), IJP Road, Sector I-12, Islamabad. ",-5476727, info@nutech.edu.pk ,https://nutech.edu.pk/
ShifaTameer-E-Millat University,Private,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad",-8464173, info@stmu.edu.pk ,https://stmu.edu.pk/
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Public,"Cholistan University of Veterinary & Animal Sciences, Near DHA, Bahawalpur, Punjab-Pakistan",-9255686, registrar@cuvas.edu.pk ,http://www.cuvas.edu.pk
"Faisalabad Medical University, Faisalabad",Public,"Sargodha Road, Faisalabad-Punjab Pakistan ",-9210029, vcfmuf@gmail.com ,http://www.pmc.edu.pk/
Institute for Art and Culture,Private,"Mian Riwand Road, Lahore Pakistan ",-32589997, info@iac.edu.pk ,https://iac.edu.pk/
Nishtar Medical University Multan,Public,"Nishtar Medical University (NMU), Nishtar Road, Gillani Colony, Multan Punjab, Pakistan",-9200235, nishtarmed@gmail.com ,http://www.nmch.edu.pk
"Punjab Tianjin University of Technology, Lahore",Public,"Punjab Tianjin University of Technology (PTUT),  Near Green Town Police station, Township,  Lahore, Pakistan ",+92-42-9933 2438, info@ptut.edu.pk ,http://ptut.edu.pk/
"Emaan Institute of Management & Sciences, Karachi",Private,"E-136, Abul Hassan Asphani Road, Block-07 Gulshan-e-Iqbal, Karachi, 74200, Pakistan",-34999131, info@emaan.edu.pk ,http://www.emaan.edu.pk
"GOVERNMENT COLLEGE UNIVERSITY, HYDERABAD",Public,"Opposite Pinyari Police Station, Kali Mori, Hyderabad Sindh, Pakistan",-2111807, info@gcuh.edu.pk ,http://www.gcuh.edu.pk
ILMA University ,Private,"Main Ibrahim Hydri Road, Korangi Creek, Karachi. ",-35120391, info@ilmauniversity.edu.pk ,http://www.ibt.edu.pk
Sohail University,Private,"Sohail University, 22-23 Shaheed-e-Millat Road, Karachi-Sindh ",-34931824, baqarnawab@hotmail.com ,http://www.sohailuniversity.edu.pk
Abottabad University of Science And Technology (AUST),Public,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",-403017, info@aust.edu.pk ,http://aust.edu.pk
"The University of Agriculture, Peshawar",Public,"The University of Agriculture, Peshawar Pakistan ",-9221262, registrar@aup.edu.pk ,http://www.aup.edu.pk/
"University of Engineering & Technology (UET), Mardan",Public,"University of Engineering & Technology (UET), Mardan ",-9231140, registrar@uetmardan.edu.pk ,http://www.uetmardan.edu.pk
University of Science & Technology,Public,"Main Campus Township, Bannu. ",-634659, registrar@ustb.edu.pk ,https://www.ustb.edu.pk/
Brains Institute Peshawar,Private,"Phase III Chowk, Jamrud Road, Peshawar ",-5611636, info@brains.edu.pk ,http://brains.edu.pk
"The Bolan University of Medical and Health Sciences, Quetta	",Public,"The Bolan University of Medical & Health Sciences.  Brewery Road,Quetta Balochistan, Pakistan ",-9213059, registrar@bumhs.edu.pk ,http://www.bumhs.edu.pk/
"University of Sufism and Modern Sciences, Bhitshah Sindh",Public,Mian Campus; Bhit Shah ,-2762345, dep.registrar@usms.edu.pk ,http://usms.edu.pk/
Shaheed Benazir Bhutto University,Public,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",-886379, registrar@sbbu.edu.pk ,https://sbbu.edu.pk/
The University of Lakki Marwat,Public,"The University of Lakki Marwat GPGC (Boys), District Lakki Marwat Khyber Pakhtunkhwa ",-512696, ulm_2017@outlook.com ,http://www.ulm.edu.pk
University of Buner,Public,"University of Buner Sowari, Buner, Khyber Pakhtunkhwa ",-556058, registrar@ubuner.edu.pk ,https://www.ubuner.edu.pk/
University of Chitral,Public,"University of Chitral Seen, Lasht Chitral, Khyber Pakhtunkhwa",-413252, registrar@uoch.edu.pk ,http://www.uoch.edu.pk
University of Haripur,Public,"Hattar Road, Near Swat Chowk, Tehsil & District Haripur. ",-616296, registrar@uoh.edu.pk ,http://www.uoh.edu.pk/
"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",Public,"Mang, Haripur-Khyber Pakhtunkhwa Pakistan ",-646033, info@paf-iast.edu.pk ,https://www.paf-iast.edu.pk/
